"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Engineer - Hydraulics","WSP USA","Bangalore, Karnataka","2025-07-23T09:54:08Z","Engineering Jobs","- You will work in different projects in hydrotechnical engineering such as dam safety review, hydropower, flood mapping, banks stabilisation, fish ladder, ice and bridge hydraulic studies; - You will conduct hydrological analysis (PMF study, flood frequency analysis, hydrological modelling); - You will conduct various hydrotechnical analyses for different projects; - You will perform hydraulic and hydrological modeling (HEC-RAS 1D/2D, Telemac 2D, Flow 3D, HEC-HMS, HYFRAN, RAVEN, etc.); - You w…","https://www.adzuna.in/land/ad/5317567529?se=eCB-oZJo8BGUrrSYvW0dZg&utm_medium=api&utm_source=c8890522&v=A9FF08E509576231A31B130AF2CA84870C385A1E","12.9881567","77.6226000"
"BIM Engineer - Fire Life Safety","WSP USA","Noida, Ghaziabad","2025-07-02T01:43:13Z","Engineering Jobs","- Deliver high quality information, data and models to the Appointing Party and ensure that the delivery of information within the supply chain is in compliance with the contract requirements. - Close liaison with the project team and act as point of contact - Follow project BEP in line with the organization's standard and ensure collaborative inputs from different stakeholders are well coordinated and embedded. - Provide Quality Assurance dealing with the Implementation and Administration of B…","https://www.adzuna.in/land/ad/5278418327?se=eCB-oZJo8BGUrrSYvW0dZg&utm_medium=api&utm_source=c8890522&v=2B9D763E9E6979A164BBF9F03516E454C58957A9","28.56579","77.3225"
"Sr Advanced Mech Design Engr","Honeywell","Bangalore, Karnataka","2025-07-16T10:38:41Z","Engineering Jobs","POSITION: Sr. Advanced R&D engineer - Aero CS Skills/Qualifications: Sr. Advanced Mechanical Design Engineer - Aero Adv. Control Systems (CS) QUALIFICATION: M.Tech in Mechanical Engineering with 11-12 years of Experience. Aerospace products Mechanical Analysis experience is must. EXPERIENCE: 11-14 Years ESSENTIAL SKILLS: · Working towards outlined objectives, plans, directs and coordinates assigned technical projects from conception and proposal through the completion of qualification testing a…","https://www.adzuna.in/land/ad/5305890299?se=eCB-oZJo8BGUrrSYvW0dZg&utm_medium=api&utm_source=c8890522&v=EA5CB61921C27FF067209F38210AB7930AFDDDB5","12.95703","77.59837"
"Technical Sales Manager","Vertiv Group","Bangalore, Karnataka","2025-07-02T20:25:28Z","Engineering Jobs","Description Job Summary The Solutions Architect has deep domain knowledge in data center design, data center products and data center trends. Leveraging experience in mission critical applications a Solution Architect can think quickly and pull from Vertiv’s vast resources to solve customer needs. Customer facing role, working as a resource to Vertiv account teams. Able to digest customer requirements, communicate to Pre-Sales design team, Bid Management team and Senior Management necessary det…","https://www.adzuna.in/details/5279993311?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Project Manager","Baldota Steel and Power Limited","Koppal, Karnataka","2025-07-21T08:01:43Z","Engineering Jobs","About the Company Baldota Steel and Power Limited, a key arm of the renowned Baldota Group, is proud to announce the commencement of its Greenfield Integrated Steel Plant Project, a transformative initiative aimed at fueling India’s industrial progress and uplifting surrounding communities. In its Phase 1, the plant will have an installed capacity of 1.2 Million Tons Per Annum (MTPA), with a strategic roadmap to expand up to 10 MTPA in the near future. This world-class steel manufacturing facil…","https://www.adzuna.in/details/5314143561?utm_medium=api&utm_source=c8890522","15.20682","75.96189"
"BIM Engineer - Fire Life Safety","WSP","Noida, Ghaziabad","2025-07-05T20:52:11Z","Engineering Jobs","Description Deliver high quality information, data and models to the Appointing Party and ensure that the delivery of information within the supply chain is in compliance with the contract requirements. Close liaison with the project team and act as point of contact Follow project BEP in line with the organization's standard and ensure collaborative inputs from different stakeholders are well coordinated and embedded. Provide Quality Assurance dealing with the Implementation and Administration …","https://www.adzuna.in/details/5287875484?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"Structural Engineer","Weekday AI","India","2025-07-16T16:39:21Z","Engineering Jobs","This role is for one of the Weekday's clients Min Experience: 5 years Location: Hyderabad JobType: full-time We are looking for a skilled Structural Engineer with a strong background in structural design and analysis, particularly for solar mounting systems. The ideal candidate will bring expertise in U.S. building codes, structural modeling, and collaborative project execution. Experience in the solar energy sector is a strong plus. Requirements Key Responsibilities: Structural Design & Engine…","https://www.adzuna.in/details/5306297011?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Design Coordination Expert","SMEC India","India","2025-07-13T02:26:41Z","Engineering Jobs","Job Description: Seeking a Design Coordination Expert with 10 years of experience in dam construction , preferably RCC dams. The role involves managing design interfaces, ensuring compliance with project requirements, and coordinating between design and construction teams . Key Responsibilities: Oversee design development, review, and integration with construction . Ensure compliance with technical standards, safety regulations, and project specifications . Coordinate between designers, enginee…","https://www.adzuna.in/details/5300195277?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Requirements Analyst","Iskraemeco","Kolkata, West Bengal","2025-07-20T07:58:10Z","Engineering Jobs","Iskraemeco by Kaynes Technology at Kolkata is looking for a proactive and technically sound Manager – Requirement Analysis to bridge the gap between customer needs and technical implementation. The ideal candidate should have prior experience in requirement gathering, technical coordination, and project delivery within the utility domain (power distribution, smart metering, etc.). Key Responsibilities: a. Convert customer project requirements into clear and comprehensive SRS . b. Coordinate wit…","https://www.adzuna.in/details/5313128252?utm_medium=api&utm_source=c8890522","22.57285","88.34373"
"Project Engineer","Worley","India","2025-06-29T03:14:46Z","Engineering Jobs","We deliver the world’s most complex projects. Work as part of a collaborative and inclusive team. Enjoy a varied & challenging role. Building on our past. Ready for the future Worley is a global professional services company of energy, chemicals and resources experts headquartered in Australia. Right now, we’re bridging two worlds as we accelerate to more sustainable energy sources, while helping our customers provide the energy, chemicals and resources that society needs now. We partner with o…","https://www.adzuna.in/details/5274105225?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
